GENE	TYPE
ACTL8	Cancer Germline Antigen
ADAM2	Cancer Germline Antigen
ADAM29	Cancer Germline Antigen
AKAP4	Cancer Germline Antigen
BAGE	Cancer Germline Antigen
BAGE2	Cancer Germline Antigen
C15orf60	Cancer Germline Antigen
C21orf99	Cancer Germline Antigen
CAGE1	Cancer Germline Antigen
CALR3	Cancer Germline Antigen
CCDC83	Cancer Germline Antigen
CPXCR1	Cancer Germline Antigen
CSAG1	Cancer Germline Antigen
CSAG2	Cancer Germline Antigen
CT45A1	Cancer Germline Antigen
CT45A2	Cancer Germline Antigen
CT45A3	Cancer Germline Antigen
CT45A4	Cancer Germline Antigen
CT45A5	Cancer Germline Antigen
CT45A6	Cancer Germline Antigen
CT47A1	Cancer Germline Antigen
CT47A10	Cancer Germline Antigen
CT47A11	Cancer Germline Antigen
CT47A2	Cancer Germline Antigen
CT47A6	Cancer Germline Antigen
CT47A7	Cancer Germline Antigen
CT47A9	Cancer Germline Antigen
CT47B1	Cancer Germline Antigen
CTCFL	Cancer Germline Antigen
CXorf48	Cancer Germline Antigen
DDX53	Cancer Germline Antigen
DMRT1	Cancer Germline Antigen
DNAJB8	Cancer Germline Antigen
DPPA2	Cancer Germline Antigen
DSCR8	Cancer Germline Antigen
FAM46D	Cancer Germline Antigen
FATE1	Cancer Germline Antigen
FMR1NB	Cancer Germline Antigen
FTHL17	Cancer Germline Antigen
GAGE1	Cancer Germline Antigen
GAGE12D	Cancer Germline Antigen
GAGE2A	Cancer Germline Antigen
GAGE4	Cancer Germline Antigen
GAGE8	Cancer Germline Antigen
LUZP4	Cancer Germline Antigen
MAGEA1	Cancer Germline Antigen
MAGEA12	Cancer Germline Antigen
MAGEA2	Cancer Germline Antigen
MAGEA3	Cancer Germline Antigen
MAGEA5	Cancer Germline Antigen
MAGEA6	Cancer Germline Antigen
MAGEA9B	Cancer Germline Antigen
MAGEB1	Cancer Germline Antigen
MAGEB3	Cancer Germline Antigen
MAGEB4	Cancer Germline Antigen
MAGEB6	Cancer Germline Antigen
MAGEC1	Cancer Germline Antigen
MAGEC2	Cancer Germline Antigen
MAGEC3	Cancer Germline Antigen
MORC1	Cancer Germline Antigen
ODF1	Cancer Germline Antigen
ODF3	Cancer Germline Antigen
ODF4	Cancer Germline Antigen
PAGE1	Cancer Germline Antigen
PAGE3	Cancer Germline Antigen
PAGE5	Cancer Germline Antigen
PASD1	Cancer Germline Antigen
PIWIL1	Cancer Germline Antigen
POTEA	Cancer Germline Antigen
POTEB	Cancer Germline Antigen
POTEC	Cancer Germline Antigen
POTED	Cancer Germline Antigen
POTEG	Cancer Germline Antigen
PRSS54	Cancer Germline Antigen
PRSS55	Cancer Germline Antigen
RBM46	Cancer Germline Antigen
SAGE1	Cancer Germline Antigen
SLCO6A1	Cancer Germline Antigen
SPANXA2	Cancer Germline Antigen
SPANXB2	Cancer Germline Antigen
SPANXC	Cancer Germline Antigen
SPANXE	Cancer Germline Antigen
SPANXN1	Cancer Germline Antigen
SPANXN2	Cancer Germline Antigen
SPANXN4	Cancer Germline Antigen
SPANXN5	Cancer Germline Antigen
SPATA19	Cancer Germline Antigen
SPINLW1	Cancer Germline Antigen
SPO11	Cancer Germline Antigen
SSX1	Cancer Germline Antigen
SSX2	Cancer Germline Antigen
SSX3	Cancer Germline Antigen
SSX4	Cancer Germline Antigen
SSX5	Cancer Germline Antigen
SSX6	Cancer Germline Antigen
SSX7	Cancer Germline Antigen
SYCP1	Cancer Germline Antigen
TEX14	Cancer Germline Antigen
TFDP3	Cancer Germline Antigen
TMPRSS12	Cancer Germline Antigen
TSPY2	Cancer Germline Antigen
TSPY3	Cancer Germline Antigen
VENTXP1	Cancer Germline Antigen
XAGE1D	Cancer Germline Antigen
XAGE2	Cancer Germline Antigen
XAGE5	Cancer Germline Antigen
ZNF645	Cancer Germline Antigen
ACKR4	Chemokine
CCL1	Chemokine
CCL11	Chemokine
CCL12	Chemokine
CCL13	Chemokine
CCL14	Chemokine
CCL15	Chemokine
CCL16	Chemokine
CCL17	Chemokine
CCL18	Chemokine
CCL19	Chemokine
CCL2	Chemokine
CCL20	Chemokine
CCL21	Chemokine
CCL22	Chemokine
CCL23	Chemokine
CCL24	Chemokine
CCL25	Chemokine
CCL26	Chemokine
CCL27	Chemokine
CCL28	Chemokine
CCL3	Chemokine
CCL3L1	Chemokine
CCL3L3	Chemokine
CCL4	Chemokine
CCL4L1	Chemokine
CCL4L2	Chemokine
CCL5	Chemokine
CCL6	Chemokine
CCL7	Chemokine
CCL8	Chemokine
CCL9	Chemokine
CCR1	Chemokine
CCR10	Chemokine
CCR2	Chemokine
CCR3	Chemokine
CCR4	Chemokine
CCR5	Chemokine
CCR6	Chemokine
CCR7	Chemokine
CCR8	Chemokine
CCR9	Chemokine
CCRL1	Chemokine
CCRL2	Chemokine
CKLF	Chemokine
CX3CL1	Chemokine
CX3CR1	Chemokine
CXCL1	Chemokine
CXCL10	Chemokine
CXCL11	Chemokine
CXCL12	Chemokine
CXCL13	Chemokine
CXCL14	Chemokine
CXCL15	Chemokine
CXCL16	Chemokine
CXCL17	Chemokine
CXCL2	Chemokine
CXCL3	Chemokine
CXCL4	Chemokine
CXCL5	Chemokine
CXCL6	Chemokine
CXCL7	Chemokine
CXCL7 	Chemokine
CXCL9	Chemokine
CXCR1	Chemokine
CXCR2	Chemokine
CXCR2P1	Chemokine
CXCR3	Chemokine
CXCR3B	Chemokine
CXCR4	Chemokine
CXCR5	Chemokine
CXCR6	Chemokine
CXCR7	Chemokine
DARC	Chemokine
PARC	Chemokine
PITPNM3	Chemokine
TARC	Chemokine
XCL1	Chemokine
XCL2	Chemokine
XCR1	Chemokine
AIMP1	Cytokine
ANG	Cytokine
ANGPT1	Cytokine
ANGPT2	Cytokine
ANGPTL1	Cytokine
ANGPTL2	Cytokine
AREG	Cytokine
BDNF	Cytokine
BMP10	Cytokine
BMP13	Cytokine
BMP2	Cytokine
BMP3	Cytokine
BMP4	Cytokine
BMP5	Cytokine
BMP6	Cytokine
BMP7	Cytokine
BTC	Cytokine
CLCF1	Cytokine
CNTF	Cytokine
CSF1	Cytokine
CSF2	Cytokine
CSF3	Cytokine
CTF1	Cytokine
CTF2P	Cytokine
DKK1	Cytokine
EDA	Cytokine
EDA2R	Cytokine
EGF	Cytokine
EGFL6	Cytokine
EGFL7	Cytokine
EGFL8	Cytokine
EPO	Cytokine
EREG	Cytokine
FAS	Cytokine
FASLG	Cytokine
FGF11	Cytokine
FGF12	Cytokine
FGF13	Cytokine
FGF14	Cytokine
FGF15	Cytokine
FGF16	Cytokine
FGF17	Cytokine
FGF18	Cytokine
FGF19	Cytokine
FGF20	Cytokine
FGF21	Cytokine
FGFBP1	Cytokine
FGFBP2	Cytokine
FGFBP3	Cytokine
FLT3LG	Cytokine
GDF1	Cytokine
GDF10	Cytokine
GDF15	Cytokine
GDF2	Cytokine
GDF3	Cytokine
GDF5	Cytokine
GDF6	Cytokine
GDF9	Cytokine
GDNF	Cytokine
HBEGF	Cytokine
HDGF	Cytokine
HGF	Cytokine
IFNA1	Cytokine
IFNA10	Cytokine
IFNA13	Cytokine
IFNA14	Cytokine
IFNA16	Cytokine
IFNA17	Cytokine
IFNA2	Cytokine
IFNA21	Cytokine
IFNA4	Cytokine
IFNA5	Cytokine
IFNA6	Cytokine
IFNA7	Cytokine
IFNA8	Cytokine
IFNAR1	Cytokine
IFNAR2	Cytokine
IFNB1	Cytokine
IFNE	Cytokine
IFNG	Cytokine
IFNGR1	Cytokine
IFNGR2	Cytokine
IFNK	Cytokine
IFNW1	Cytokine
IFNZ	Cytokine
IGF1	Cytokine
IGF2	Cytokine
IL11	Cytokine
IL12 	Cytokine
IL12A	Cytokine
IL12B	Cytokine
IL12RB1	Cytokine
IL12RB2	Cytokine
IL13	Cytokine
IL14	Cytokine
IL15	Cytokine
IL15RA	Cytokine
IL16	Cytokine
IL17A	Cytokine
IL17B	Cytokine
IL17C	Cytokine
